facility_id,unplanned_score_edac_30_ami,unplanned_score_edac_30_hf,unplanned_score_edac_30_pn,unplanned_score_hybrid_hwr,unplanned_score_op_32,unplanned_score_op_35_adm,unplanned_score_op_35_ed,unplanned_score_op_36,unplanned_score_readm_30_ami,unplanned_score_readm_30_cabg,unplanned_score_readm_30_copd,unplanned_score_readm_30_hf,unplanned_score_readm_30_hip_knee,unplanned_score_readm_30_pn,unplanned_flag_edac_30_ami,unplanned_flag_edac_30_hf,unplanned_flag_edac_30_pn,unplanned_flag_hybrid_hwr,unplanned_flag_op_32,unplanned_flag_op_35_adm,unplanned_flag_op_35_ed,unplanned_flag_op_36,unplanned_flag_readm_30_ami,unplanned_flag_readm_30_cabg,unplanned_flag_readm_30_copd,unplanned_flag_readm_30_hf,unplanned_flag_readm_30_hip_knee,unplanned_flag_readm_30_pn
060028,,19.2,1.9,14.3,12.7,11.0,5.2,1.1,13.2,,18.3,19.4,,15.8,number of cases too small,average days per 100 discharges,average days per 100 discharges,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than expected,no different than the national rate,number of cases too small,no different than the national rate,no different than the national rate,number of cases too small,no different than the national rate
060030,,-28.3,-4.7,14.3,13.1,,,1.3,12.9,,,19.0,,15.5,number of cases too small,fewer days than average per 100 discharges,average days per 100 discharges,no different than the national rate,no different than the national rate,number of cases too small,number of cases too small,no different than expected,no different than the national rate,,number of cases too small,no different than the national rate,number of cases too small,no different than the national rate
060031,-11.0,-33.6,-34.9,13.8,13.2,10.6,5.6,1.2,12.1,11.2,18.5,16.6,6.4,13.7,fewer days than average per 100 discharges,fewer days than average per 100 discharges,fewer days than average per 100 discharges,better than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than expected,no different than the national rate,no different than the national rate,no different than the national rate,better than the national rate,no different than the national rate,no different than the national rate
060032,9.1,0.0,24.4,14.6,,,,1.3,13.7,,,19.9,5.6,17.6,average days per 100 discharges,average days per 100 discharges,more days than average per 100 discharges,no different than the national rate,number of cases too small,number of cases too small,number of cases too small,no different than expected,no different than the national rate,number of cases too small,number of cases too small,no different than the national rate,no different than the national rate,no different than the national rate
060034,-0.5,-12.4,28.7,15.4,12.7,9.5,6.1,1.4,12.7,10.5,17.9,19.1,4.1,16.3,average days per 100 discharges,average days per 100 discharges,more days than average per 100 discharges,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,worse than expected,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate
060044,,-54.2,-13.7,14.6,13.2,,,1.0,,,,19.0,4.8,15.6,number of cases too small,fewer days than average per 100 discharges,average days per 100 discharges,no different than the national rate,no different than the national rate,number of cases too small,number of cases too small,no different than expected,number of cases too small,,number of cases too small,no different than the national rate,no different than the national rate,no different than the national rate
060049,,,-46.0,14.0,12.6,9.1,5.8,1.2,,,,,,15.7,number of cases too small,number of cases too small,fewer days than average per 100 discharges,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than expected,number of cases too small,number of cases too small,number of cases too small,number of cases too small,number of cases too small,no different than the national rate
060054,,-34.3,-1.2,14.0,12.5,10.7,5.1,1.0,,,,19.0,4.3,15.5,number of cases too small,fewer days than average per 100 discharges,average days per 100 discharges,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than expected,number of cases too small,,number of cases too small,no different than the national rate,no different than the national rate,no different than the national rate
06005F,26.9,-48.0,-4.8,13.4,,,,,13.4,,18.7,17.1,4.2,15.5,more days than average per 100 discharges,fewer days than average per 100 discharges,average days per 100 discharges,better than the national rate,,,,,no different than the national rate,,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate
060064,,-25.2,12.9,14.4,12.8,,,1.0,14.4,9.9,17.9,19.0,5.5,15.8,number of cases too small,fewer days than average per 100 discharges,average days per 100 discharges,no different than the national rate,no different than the national rate,number of cases too small,number of cases too small,no different than expected,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate
