facility_id,unplanned_score_edac_30_ami,unplanned_score_edac_30_hf,unplanned_score_edac_30_pn,unplanned_score_hybrid_hwr,unplanned_score_op_32,unplanned_score_op_35_adm,unplanned_score_op_35_ed,unplanned_score_op_36,unplanned_score_readm_30_ami,unplanned_score_readm_30_cabg,unplanned_score_readm_30_copd,unplanned_score_readm_30_hf,unplanned_score_readm_30_hip_knee,unplanned_score_readm_30_pn,unplanned_flag_edac_30_ami,unplanned_flag_edac_30_hf,unplanned_flag_edac_30_pn,unplanned_flag_hybrid_hwr,unplanned_flag_op_32,unplanned_flag_op_35_adm,unplanned_flag_op_35_ed,unplanned_flag_op_36,unplanned_flag_readm_30_ami,unplanned_flag_readm_30_cabg,unplanned_flag_readm_30_copd,unplanned_flag_readm_30_hf,unplanned_flag_readm_30_hip_knee,unplanned_flag_readm_30_pn
010001,-15.6,-1.1,17.4,15.1,12.7,10.0,5.1,1.1,13.0,10.1,18.0,20.1,4.8,16.0,fewer days than average per 100 discharges,average days per 100 discharges,more days than average per 100 discharges,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than expected,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate
010005,,12.2,-17.2,13.3,13.0,9.3,4.8,0.9,,,17.1,19.8,4.2,13.9,number of cases too small,average days per 100 discharges,fewer days than average per 100 discharges,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than expected,number of cases too small,,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate
010006,-18.0,-4.7,-0.9,15.9,11.1,,,1.2,12.5,10.6,19.1,19.5,5.1,15.7,fewer days than average per 100 discharges,average days per 100 discharges,average days per 100 discharges,no different than the national rate,no different than the national rate,number of cases too small,number of cases too small,no different than expected,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate
010007,,77.9,29.8,15.4,12.5,,,,,,18.6,20.9,,16.5,number of cases too small,more days than average per 100 discharges,more days than average per 100 discharges,no different than the national rate,no different than the national rate,number of cases too small,number of cases too small,number of cases too small,number of cases too small,,no different than the national rate,no different than the national rate,number of cases too small,no different than the national rate
010008,,,-8.9,14.7,12.7,,,,,,,,,16.0,number of cases too small,number of cases too small,average days per 100 discharges,no different than the national rate,no different than the national rate,,,number of cases too small,number of cases too small,,number of cases too small,number of cases too small,,no different than the national rate
010011,-23.6,21.2,18.1,14.6,12.9,,,1.1,13.2,11.9,18.2,20.9,,16.2,fewer days than average per 100 discharges,more days than average per 100 discharges,more days than average per 100 discharges,no different than the national rate,no different than the national rate,,,no different than expected,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,number of cases too small,no different than the national rate
010012,41.1,40.0,2.3,15.1,14.0,,,1.0,14.3,,18.1,21.3,4.5,16.3,more days than average per 100 discharges,more days than average per 100 discharges,average days per 100 discharges,no different than the national rate,no different than the national rate,,,no different than expected,no different than the national rate,,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate
010016,23.3,0.3,29.5,14.0,,,,1.1,13.9,11.5,18.0,19.9,5.3,16.4,average days per 100 discharges,average days per 100 discharges,more days than average per 100 discharges,no different than the national rate,number of cases too small,,,no different than expected,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate
010018,,,,,,,,0.9,,,,,,,,,,number of cases too small,,number of cases too small,number of cases too small,no different than expected,,,,,,
010019,,-16.1,19.8,16.0,13.5,,,0.9,,,18.8,17.8,5.8,16.1,number of cases too small,fewer days than average per 100 discharges,more days than average per 100 discharges,no different than the national rate,no different than the national rate,number of cases too small,number of cases too small,no different than expected,number of cases too small,,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate
010021,,,39.7,14.8,12.7,,,,,,,,,16.0,number of cases too small,number of cases too small,more days than average per 100 discharges,no different than the national rate,no different than the national rate,number of cases too small,number of cases too small,number of cases too small,number of cases too small,,number of cases too small,number of cases too small,,no different than the national rate
010022,,,-5.8,15.1,,,,,,,,,,15.5,,number of cases too small,average days per 100 discharges,no different than the national rate,,,,,,,number of cases too small,number of cases too small,,no different than the national rate
010023,-0.1,23.4,41.9,15.0,12.4,10.1,4.3,0.9,13.6,11.5,19.0,20.8,4.6,16.7,average days per 100 discharges,more days than average per 100 discharges,more days than average per 100 discharges,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than expected,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate
010024,0.6,0.2,10.2,15.8,12.1,10.2,5.9,0.9,13.8,9.9,17.4,20.0,,16.0,average days per 100 discharges,average days per 100 discharges,average days per 100 discharges,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than expected,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,number of cases too small,no different than the national rate
010029,42.4,36.7,-7.9,14.4,11.7,10.3,5.0,1.0,14.0,10.0,17.1,19.9,4.8,14.3,more days than average per 100 discharges,more days than average per 100 discharges,average days per 100 discharges,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than expected,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate
010033,39.4,5.8,38.3,15.6,14.1,9.9,4.5,1.1,15.9,13.6,17.6,19.3,6.6,17.7,more days than average per 100 discharges,average days per 100 discharges,more days than average per 100 discharges,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than expected,no different than the national rate,worse than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate
010034,,,,15.6,11.9,,,,,,,,,,,number of cases too small,number of cases too small,no different than the national rate,no different than the national rate,,,number of cases too small,,,number of cases too small,number of cases too small,,number of cases too small
010035,,-36.8,1.3,16.6,13.8,,,0.9,14.2,,19.5,19.2,4.3,15.8,number of cases too small,fewer days than average per 100 discharges,average days per 100 discharges,no different than the national rate,no different than the national rate,number of cases too small,number of cases too small,no different than expected,no different than the national rate,,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate
010036,,41.7,-12.4,14.9,14.2,,,0.9,,,17.5,20.5,5.5,15.1,number of cases too small,more days than average per 100 discharges,average days per 100 discharges,no different than the national rate,no different than the national rate,number of cases too small,number of cases too small,no different than expected,number of cases too small,,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate
010039,-8.2,16.0,6.1,14.3,11.8,9.2,5.1,0.7,12.1,9.1,17.6,19.5,5.1,14.7,fewer days than average per 100 discharges,more days than average per 100 discharges,more days than average per 100 discharges,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,better than expected,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate
010040,-12.3,20.0,8.0,15.9,13.1,,,1.0,13.3,12.4,18.1,19.1,5.4,16.2,average days per 100 discharges,more days than average per 100 discharges,average days per 100 discharges,no different than the national rate,no different than the national rate,number of cases too small,number of cases too small,no different than expected,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate
010044,,-37.4,-13.4,14.8,13.4,,,,,,,18.6,,16.0,number of cases too small,fewer days than average per 100 discharges,average days per 100 discharges,no different than the national rate,no different than the national rate,,,number of cases too small,number of cases too small,,number of cases too small,no different than the national rate,,no different than the national rate
010045,,-25.0,-38.3,14.9,13.6,,,,,,18.4,19.7,,15.9,,average days per 100 discharges,fewer days than average per 100 discharges,no different than the national rate,no different than the national rate,number of cases too small,number of cases too small,number of cases too small,,,no different than the national rate,no different than the national rate,,no different than the national rate
010046,29.8,13.8,18.1,15.7,13.4,,,0.9,13.7,,19.4,21.7,5.0,17.9,more days than average per 100 discharges,average days per 100 discharges,more days than average per 100 discharges,no different than the national rate,no different than the national rate,number of cases too small,number of cases too small,no different than expected,no different than the national rate,number of cases too small,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate
010049,,-29.4,14.6,14.9,12.1,,,1.2,,,18.6,18.7,4.0,16.0,number of cases too small,fewer days than average per 100 discharges,average days per 100 discharges,no different than the national rate,no different than the national rate,number of cases too small,number of cases too small,no different than expected,number of cases too small,,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate
010052,,,-9.8,14.3,,,,,,,,,,16.2,,number of cases too small,average days per 100 discharges,no different than the national rate,number of cases too small,,,,,,number of cases too small,number of cases too small,,no different than the national rate
010055,17.5,1.3,4.5,15.9,13.3,,,0.9,14.5,11.9,17.2,19.2,6.6,16.7,more days than average per 100 discharges,average days per 100 discharges,average days per 100 discharges,no different than the national rate,no different than the national rate,number of cases too small,number of cases too small,no different than expected,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate
010056,9.0,21.0,32.4,15.3,11.5,,,0.8,14.6,11.5,18.0,19.3,5.4,17.2,average days per 100 discharges,more days than average per 100 discharges,more days than average per 100 discharges,no different than the national rate,no different than the national rate,number of cases too small,number of cases too small,no different than expected,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate
010058,,,-30.6,14.7,,,,,,,,,,14.9,number of cases too small,number of cases too small,fewer days than average per 100 discharges,no different than the national rate,number of cases too small,,,,number of cases too small,,number of cases too small,number of cases too small,,no different than the national rate
010061,,-53.6,13.1,14.7,12.1,,,1.1,,,18.4,18.6,,15.4,number of cases too small,fewer days than average per 100 discharges,average days per 100 discharges,no different than the national rate,no different than the national rate,number of cases too small,number of cases too small,no different than expected,number of cases too small,,no different than the national rate,no different than the national rate,number of cases too small,no different than the national rate
010062,,,,14.9,13.3,,,,,,,,,,number of cases too small,number of cases too small,number of cases too small,no different than the national rate,no different than the national rate,,,number of cases too small,number of cases too small,,number of cases too small,number of cases too small,,number of cases too small
010065,,-40.2,-1.0,14.2,12.8,10.3,6.5,1.0,13.7,,18.6,19.1,4.0,15.0,number of cases too small,fewer days than average per 100 discharges,average days per 100 discharges,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than expected,no different than the national rate,,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate
010073,,,-34.1,14.7,12.6,,,,,,,,,15.6,number of cases too small,number of cases too small,fewer days than average per 100 discharges,no different than the national rate,no different than the national rate,,,number of cases too small,number of cases too small,,number of cases too small,number of cases too small,,no different than the national rate
010078,52.0,-7.8,6.4,15.7,14.2,10.6,4.9,0.9,15.5,,17.5,19.5,6.4,15.6,more days than average per 100 discharges,average days per 100 discharges,average days per 100 discharges,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than expected,no different than the national rate,,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate
010079,,-10.8,52.7,14.4,13.0,,,1.0,,,18.5,19.1,5.1,17.3,number of cases too small,average days per 100 discharges,more days than average per 100 discharges,no different than the national rate,no different than the national rate,number of cases too small,number of cases too small,no different than expected,number of cases too small,,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate
010083,-28.4,-16.9,-8.2,14.6,16.3,,,1.0,13.2,,17.3,20.0,6.1,16.1,fewer days than average per 100 discharges,fewer days than average per 100 discharges,average days per 100 discharges,no different than the national rate,no different than the national rate,,,no different than expected,no different than the national rate,,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate
010085,,-6.9,-4.2,14.8,12.6,,,0.9,13.3,,17.9,18.4,4.7,15.2,number of cases too small,average days per 100 discharges,average days per 100 discharges,no different than the national rate,no different than the national rate,number of cases too small,number of cases too small,no different than expected,no different than the national rate,,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate
010086,,-12.7,-26.8,13.8,12.7,,,,,,16.6,19.9,,14.6,number of cases too small,average days per 100 discharges,fewer days than average per 100 discharges,no different than the national rate,no different than the national rate,number of cases too small,number of cases too small,number of cases too small,number of cases too small,,no different than the national rate,no different than the national rate,,no different than the national rate
010087,,112.4,11.7,15.7,13.9,10.0,4.6,0.8,13.3,,,19.9,,15.9,number of cases too small,more days than average per 100 discharges,average days per 100 discharges,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than expected,no different than the national rate,number of cases too small,number of cases too small,no different than the national rate,number of cases too small,no different than the national rate
010089,,6.3,-8.9,15.4,12.7,,,0.9,,,18.7,20.0,,15.4,number of cases too small,average days per 100 discharges,average days per 100 discharges,no different than the national rate,no different than the national rate,number of cases too small,number of cases too small,no different than expected,number of cases too small,,no different than the national rate,no different than the national rate,number of cases too small,no different than the national rate
010090,34.5,-7.2,43.1,14.4,12.2,,,1.0,15.0,10.9,17.1,19.2,4.2,18.0,more days than average per 100 discharges,average days per 100 discharges,more days than average per 100 discharges,no different than the national rate,no different than the national rate,number of cases too small,number of cases too small,no different than expected,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate
010092,45.7,21.7,31.4,14.8,13.0,9.6,4.3,1.0,14.2,,21.4,20.3,,17.0,more days than average per 100 discharges,more days than average per 100 discharges,more days than average per 100 discharges,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than expected,no different than the national rate,number of cases too small,worse than the national rate,no different than the national rate,number of cases too small,no different than the national rate
010095,,,,15.2,,,,,,,,,,,number of cases too small,number of cases too small,number of cases too small,no different than the national rate,,,,,number of cases too small,,number of cases too small,number of cases too small,,number of cases too small
010097,,,36.5,15.2,12.8,,,,,,,,,16.4,number of cases too small,number of cases too small,more days than average per 100 discharges,no different than the national rate,no different than the national rate,,,number of cases too small,number of cases too small,,number of cases too small,number of cases too small,,no different than the national rate
010099,,92.1,-19.3,15.5,13.3,10.2,5.2,,,,,20.1,,15.6,number of cases too small,more days than average per 100 discharges,average days per 100 discharges,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,number of cases too small,number of cases too small,,number of cases too small,no different than the national rate,,no different than the national rate
010100,-24.8,20.1,25.2,15.2,13.9,,,0.8,13.0,10.8,19.5,20.9,4.1,17.1,fewer days than average per 100 discharges,more days than average per 100 discharges,more days than average per 100 discharges,no different than the national rate,no different than the national rate,number of cases too small,number of cases too small,no different than expected,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate
010101,,-6.8,115.9,15.0,14.2,,,,,,,19.4,,17.8,number of cases too small,average days per 100 discharges,more days than average per 100 discharges,no different than the national rate,no different than the national rate,number of cases too small,number of cases too small,number of cases too small,number of cases too small,,number of cases too small,no different than the national rate,,no different than the national rate
010103,34.8,-41.4,-13.6,14.4,13.1,,,1.0,14.6,11.2,17.5,17.6,4.5,15.7,more days than average per 100 discharges,fewer days than average per 100 discharges,average days per 100 discharges,no different than the national rate,no different than the national rate,number of cases too small,number of cases too small,no different than expected,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate
010104,22.2,14.7,-16.8,15.8,13.7,11.9,5.2,0.9,14.9,12.2,17.0,19.9,4.7,14.7,more days than average per 100 discharges,more days than average per 100 discharges,fewer days than average per 100 discharges,worse than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than expected,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate
010108,,-19.3,-1.8,15.5,13.1,,,,,,17.7,20.5,,15.9,number of cases too small,fewer days than average per 100 discharges,average days per 100 discharges,no different than the national rate,no different than the national rate,number of cases too small,number of cases too small,number of cases too small,number of cases too small,,no different than the national rate,no different than the national rate,,no different than the national rate
010112,,59.1,-21.0,14.9,13.3,,,,,,,20.4,,15.0,number of cases too small,more days than average per 100 discharges,average days per 100 discharges,no different than the national rate,no different than the national rate,number of cases too small,number of cases too small,number of cases too small,number of cases too small,,number of cases too small,no different than the national rate,number of cases too small,no different than the national rate
010113,23.9,36.5,17.5,14.9,12.0,12.2,5.3,1.0,13.9,10.5,19.9,21.3,4.6,15.0,more days than average per 100 discharges,more days than average per 100 discharges,more days than average per 100 discharges,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than expected,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate
010114,,20.1,22.8,14.7,12.9,,,1.1,,,16.8,19.5,,15.7,number of cases too small,average days per 100 discharges,more days than average per 100 discharges,no different than the national rate,no different than the national rate,number of cases too small,number of cases too small,no different than expected,number of cases too small,,no different than the national rate,no different than the national rate,number of cases too small,no different than the national rate
010118,,-22.8,31.1,15.8,12.3,,,1.0,,,18.3,18.3,,17.3,number of cases too small,average days per 100 discharges,more days than average per 100 discharges,no different than the national rate,no different than the national rate,number of cases too small,number of cases too small,no different than expected,number of cases too small,,no different than the national rate,no different than the national rate,number of cases too small,no different than the national rate
010120,,66.7,11.7,15.9,14.0,,,,,,,20.1,,16.5,number of cases too small,more days than average per 100 discharges,average days per 100 discharges,no different than the national rate,no different than the national rate,number of cases too small,number of cases too small,number of cases too small,number of cases too small,,number of cases too small,no different than the national rate,,no different than the national rate
010125,,-24.9,7.2,14.9,,,,,,,17.8,19.8,,15.4,number of cases too small,average days per 100 discharges,average days per 100 discharges,no different than the national rate,,,,,number of cases too small,,no different than the national rate,no different than the national rate,,no different than the national rate
010126,,20.0,24.3,14.7,12.5,,,,,,,20.4,,15.8,number of cases too small,average days per 100 discharges,average days per 100 discharges,no different than the national rate,no different than the national rate,number of cases too small,number of cases too small,number of cases too small,number of cases too small,,number of cases too small,no different than the national rate,,no different than the national rate
010128,,,,14.7,,,,,,,17.6,,,,,number of cases too small,number of cases too small,no different than the national rate,,,,,,,no different than the national rate,number of cases too small,,number of cases too small
010129,,10.0,20.9,14.9,12.3,10.2,5.3,1.0,,,,19.4,,16.5,number of cases too small,average days per 100 discharges,average days per 100 discharges,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than expected,number of cases too small,,number of cases too small,no different than the national rate,number of cases too small,no different than the national rate
010130,,67.5,42.9,15.8,12.4,,,,,,17.6,20.8,,16.5,number of cases too small,more days than average per 100 discharges,more days than average per 100 discharges,no different than the national rate,no different than the national rate,,,number of cases too small,number of cases too small,,no different than the national rate,no different than the national rate,number of cases too small,no different than the national rate
010131,-1.4,60.6,23.0,14.7,12.7,,,1.0,15.1,,18.1,21.3,4.5,17.4,average days per 100 discharges,more days than average per 100 discharges,more days than average per 100 discharges,no different than the national rate,no different than the national rate,,,no different than expected,no different than the national rate,,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate
010139,-14.1,3.4,-0.6,14.5,13.2,,,0.9,13.2,9.8,17.6,19.7,,14.8,average days per 100 discharges,average days per 100 discharges,average days per 100 discharges,no different than the national rate,no different than the national rate,number of cases too small,number of cases too small,no different than expected,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,number of cases too small,no different than the national rate
010144,15.4,55.0,28.4,15.6,13.1,,,1.0,13.6,10.5,19.4,20.2,4.8,15.7,average days per 100 discharges,more days than average per 100 discharges,more days than average per 100 discharges,no different than the national rate,no different than the national rate,number of cases too small,number of cases too small,no different than expected,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate
010148,,-26.3,2.7,15.6,,,,,,,17.6,19.3,,16.3,number of cases too small,fewer days than average per 100 discharges,average days per 100 discharges,no different than the national rate,number of cases too small,number of cases too small,number of cases too small,,number of cases too small,,no different than the national rate,no different than the national rate,,no different than the national rate
010149,,39.5,13.8,14.8,11.2,,,1.2,13.7,,18.0,21.6,,16.6,number of cases too small,more days than average per 100 discharges,more days than average per 100 discharges,no different than the national rate,no different than the national rate,number of cases too small,number of cases too small,no different than expected,no different than the national rate,,no different than the national rate,no different than the national rate,,no different than the national rate
01014F,15.2,-17.7,6.2,14.5,,,,,13.8,,17.2,19.4,4.8,15.2,average days per 100 discharges,fewer days than average per 100 discharges,average days per 100 discharges,no different than the national rate,,,,,no different than the national rate,,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate
010150,,,,14.7,12.8,,,,,,,,,,number of cases too small,number of cases too small,number of cases too small,no different than the national rate,no different than the national rate,,,number of cases too small,number of cases too small,,number of cases too small,number of cases too small,number of cases too small,number of cases too small
010157,,,,15.4,12.6,,,,,,,,,,,number of cases too small,number of cases too small,no different than the national rate,no different than the national rate,,,number of cases too small,,,number of cases too small,number of cases too small,,number of cases too small
010158,,,14.0,16.3,13.2,,,1.0,,,18.1,,6.1,16.4,number of cases too small,number of cases too small,average days per 100 discharges,no different than the national rate,no different than the national rate,,,no different than expected,number of cases too small,,no different than the national rate,number of cases too small,no different than the national rate,no different than the national rate
010164,,36.4,59.2,15.1,12.7,10.4,5.8,1.2,,,17.9,20.0,,18.0,number of cases too small,more days than average per 100 discharges,more days than average per 100 discharges,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than expected,number of cases too small,,no different than the national rate,no different than the national rate,number of cases too small,no different than the national rate
010168,,,,15.2,12.8,,,1.2,,,,,4.9,,number of cases too small,number of cases too small,number of cases too small,no different than the national rate,no different than the national rate,,,no different than expected,number of cases too small,,number of cases too small,number of cases too small,no different than the national rate,number of cases too small
010169,,42.4,,15.5,13.1,,,,,,,20.4,,,number of cases too small,more days than average per 100 discharges,number of cases too small,no different than the national rate,no different than the national rate,,,,number of cases too small,,number of cases too small,no different than the national rate,,number of cases too small
010173,,,-21.1,14.8,13.1,,,,,,,,,15.6,,number of cases too small,average days per 100 discharges,no different than the national rate,no different than the national rate,,,number of cases too small,,,number of cases too small,number of cases too small,,no different than the national rate
01019F,,-25.7,-6.1,14.5,,,,,,,17.7,18.9,,15.7,number of cases too small,fewer days than average per 100 discharges,average days per 100 discharges,no different than the national rate,,,,,number of cases too small,,no different than the national rate,no different than the national rate,,no different than the national rate
011300,,,,14.9,,,,,,,,,,,,number of cases too small,number of cases too small,no different than the national rate,,,,,,,number of cases too small,number of cases too small,,number of cases too small
011302,,,-31.4,15.0,,,,,,,,,,16.1,,number of cases too small,fewer days than average per 100 discharges,no different than the national rate,,number of cases too small,number of cases too small,,,,number of cases too small,number of cases too small,,no different than the national rate
011305,,,22.9,14.2,13.5,,,,,,,,,15.8,,number of cases too small,average days per 100 discharges,no different than the national rate,no different than the national rate,number of cases too small,number of cases too small,number of cases too small,,,number of cases too small,number of cases too small,,no different than the national rate
011306,,,69.6,14.6,12.7,,,,,,,,,16.2,,number of cases too small,more days than average per 100 discharges,no different than the national rate,no different than the national rate,,,number of cases too small,,,number of cases too small,number of cases too small,,no different than the national rate
020001,2.5,-1.7,16.0,13.7,13.6,10.0,7.3,1.2,12.0,10.2,16.9,17.9,4.5,15.7,average days per 100 discharges,average days per 100 discharges,more days than average per 100 discharges,better than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than expected,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate
020006,27.8,0.6,-11.5,15.0,13.8,9.6,4.9,1.3,14.3,,16.3,18.3,5.0,15.0,more days than average per 100 discharges,average days per 100 discharges,average days per 100 discharges,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,worse than expected,no different than the national rate,number of cases too small,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate
020008,,-6.3,-35.4,14.4,13.9,11.7,6.2,1.2,,,18.8,19.9,,15.3,number of cases too small,average days per 100 discharges,fewer days than average per 100 discharges,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than expected,number of cases too small,,no different than the national rate,no different than the national rate,number of cases too small,no different than the national rate
020012,38.4,-53.2,-18.9,14.7,13.8,9.9,5.0,1.4,13.8,,17.0,17.6,5.0,15.7,more days than average per 100 discharges,fewer days than average per 100 discharges,fewer days than average per 100 discharges,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,worse than expected,no different than the national rate,,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate
020017,-1.3,42.5,55.5,15.8,13.1,,,1.1,13.3,11.5,20.1,21.9,5.7,17.4,average days per 100 discharges,more days than average per 100 discharges,more days than average per 100 discharges,no different than the national rate,no different than the national rate,,,no different than expected,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate
020018,,-11.1,-62.5,14.5,,,,,,,,19.4,,14.4,number of cases too small,average days per 100 discharges,fewer days than average per 100 discharges,no different than the national rate,,,,,number of cases too small,,number of cases too small,no different than the national rate,,no different than the national rate
020024,,68.5,33.1,15.8,13.7,11.9,5.8,1.0,,,20.4,24.1,3.7,16.0,number of cases too small,more days than average per 100 discharges,more days than average per 100 discharges,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than expected,number of cases too small,,no different than the national rate,worse than the national rate,no different than the national rate,no different than the national rate
020026,,24.6,0.1,15.0,,11.2,4.8,,12.9,,17.6,20.9,4.7,15.4,number of cases too small,more days than average per 100 discharges,average days per 100 discharges,no different than the national rate,number of cases too small,no different than the national rate,no different than the national rate,,no different than the national rate,,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate
021304,,,,14.6,,,,,,,,,,,,number of cases too small,number of cases too small,no different than the national rate,,number of cases too small,number of cases too small,,,,number of cases too small,number of cases too small,,number of cases too small
021305,,,,14.7,,,,,,,,,,,,number of cases too small,number of cases too small,no different than the national rate,number of cases too small,number of cases too small,number of cases too small,,,,number of cases too small,number of cases too small,,number of cases too small
021306,,,-29.2,14.8,,,,,,,,,,15.4,number of cases too small,number of cases too small,average days per 100 discharges,no different than the national rate,,number of cases too small,number of cases too small,number of cases too small,number of cases too small,,number of cases too small,number of cases too small,,no different than the national rate
021308,,-73.4,-19.5,15.1,,,,,,,18.2,19.1,,16.3,,fewer days than average per 100 discharges,average days per 100 discharges,no different than the national rate,,,,,,,no different than the national rate,no different than the national rate,,no different than the national rate
021309,,,,14.9,,,,,,,,,,,number of cases too small,number of cases too small,number of cases too small,no different than the national rate,number of cases too small,,,,number of cases too small,,number of cases too small,number of cases too small,,number of cases too small
021311,,27.8,-31.3,14.7,12.7,11.0,5.8,1.0,,,,19.8,4.9,15.0,number of cases too small,average days per 100 discharges,fewer days than average per 100 discharges,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than expected,number of cases too small,,number of cases too small,no different than the national rate,no different than the national rate,no different than the national rate
021312,,,-0.1,16.3,,,,,,,19.8,,,17.0,number of cases too small,number of cases too small,average days per 100 discharges,no different than the national rate,,,,,number of cases too small,,no different than the national rate,number of cases too small,,no different than the national rate
021313,,,-13.9,15.0,,10.6,6.1,,,,,,,15.8,number of cases too small,number of cases too small,average days per 100 discharges,no different than the national rate,,no different than the national rate,no different than the national rate,,number of cases too small,,number of cases too small,number of cases too small,number of cases too small,no different than the national rate
021314,,-35.0,20.6,14.6,,,,,,,18.8,19.4,,16.0,number of cases too small,average days per 100 discharges,average days per 100 discharges,no different than the national rate,number of cases too small,number of cases too small,number of cases too small,,number of cases too small,,no different than the national rate,no different than the national rate,number of cases too small,no different than the national rate
030002,-42.2,54.6,66.7,14.9,13.0,10.0,7.0,1.2,12.4,8.8,18.1,21.0,,16.3,fewer days than average per 100 discharges,more days than average per 100 discharges,more days than average per 100 discharges,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than expected,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,number of cases too small,no different than the national rate
030006,36.7,26.3,11.3,14.6,12.8,10.6,4.8,0.9,16.7,10.0,18.2,22.5,5.6,15.9,more days than average per 100 discharges,more days than average per 100 discharges,more days than average per 100 discharges,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than expected,worse than the national rate,no different than the national rate,no different than the national rate,worse than the national rate,no different than the national rate,no different than the national rate
