facility_id,comp_score_comp_hip_knee,comp_score_hybrid_hwm,comp_score_mort_30_ami,comp_score_mort_30_cabg,comp_score_mort_30_copd,comp_score_mort_30_hf,comp_score_mort_30_pn,comp_score_mort_30_stk,comp_score_psi_03,comp_score_psi_04,comp_score_psi_06,comp_score_psi_08,comp_score_psi_09,comp_score_psi_10,comp_score_psi_11,comp_score_psi_12,comp_score_psi_13,comp_score_psi_14,comp_score_psi_15,comp_score_psi_90,comp_flag_comp_hip_knee,comp_flag_hybrid_hwm,comp_flag_mort_30_ami,comp_flag_mort_30_cabg,comp_flag_mort_30_copd,comp_flag_mort_30_hf,comp_flag_mort_30_pn,comp_flag_mort_30_stk,comp_flag_psi_03,comp_flag_psi_04,comp_flag_psi_06,comp_flag_psi_08,comp_flag_psi_09,comp_flag_psi_10,comp_flag_psi_11,comp_flag_psi_12,comp_flag_psi_13,comp_flag_psi_14,comp_flag_psi_15,comp_flag_psi_90
050755,3.2,3.6,10.9,,8.5,9.0,12.3,13.4,0.14,,0.17,0.23,1.96,1.64,8.18,2.59,4.95,1.73,0.97,0.75,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,,No Different Than the National Rate,No Different Than the National Rate,Better Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Value
050758,,3.5,,,,,12.3,,0.3,,0.2,0.26,2.31,,,3.41,,,1.04,0.9,,No Different Than the National Rate,Number of Cases Too Small,,Number of Cases Too Small,Number of Cases Too Small,Better Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,,,No Different Than the National Rate,,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Value
050760,,4.5,,,,12.4,16.2,13.0,0.89,,0.2,0.31,2.29,,,3.84,,2.09,1.02,1.14,,No Different Than the National Rate,Number of Cases Too Small,,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Number of Cases Too Small,Number of Cases Too Small,No Different Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Value
050761,3.7,3.7,11.5,4.4,7.0,9.0,13.7,9.4,0.3,144.61,0.19,0.24,2.26,2.43,8.01,2.01,5.22,1.93,0.96,0.82,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Better Than the National Rate,No Different Than the National Rate,Better Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Value
050763,,3.5,,,6.1,9.5,10.8,,0.21,,0.18,0.23,2.55,1.66,8.7,3.28,5.15,1.75,1.04,0.84,Number of Cases Too Small,No Different Than the National Rate,,,No Different Than the National Rate,No Different Than the National Rate,Better Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Value
050764,4.6,3.9,12.5,2.4,8.3,10.4,16.5,12.4,0.19,171.15,0.16,0.33,2.12,2.3,11.25,2.53,5.4,1.83,0.85,0.9,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Value
050765,,4.0,,,,,,,0.51,,0.21,0.27,2.32,,,3.47,,,1.05,0.96,,No Different Than the National Rate,,,,Number of Cases Too Small,Number of Cases Too Small,Number of Cases Too Small,No Different Than the National Rate,,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,,,No Different Than the National Rate,,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Value
050766,5.2,4.1,,,,,,,0.6,,0.21,0.27,2.23,1.63,7.3,3.22,4.83,1.75,1.02,0.9,No Different Than the National Rate,No Different Than the National Rate,,,,,,,No Different Than the National Rate,,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Value
050767,,4.2,,,,,,,0.44,,0.2,0.27,2.55,1.67,8.91,3.25,5.15,1.75,1.03,0.92,,No Different Than the National Rate,Number of Cases Too Small,,Number of Cases Too Small,Number of Cases Too Small,Number of Cases Too Small,Number of Cases Too Small,No Different Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Value
050769,3.3,3.6,,,,,,,0.46,167.05,0.19,0.24,2.93,1.55,9.74,4.34,3.56,1.74,1.57,0.94,No Different Than the National Rate,No Different Than the National Rate,,,,,,,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Value
050770,,4.2,12.2,2.6,8.3,12.0,17.6,12.6,0.23,205.57,0.17,0.24,2.64,1.94,9.65,3.85,6.05,1.68,1.2,0.94,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Value
050771,,4.9,,,,11.3,16.4,,0.33,,0.2,0.3,2.3,,,3.34,,,1.04,0.9,Number of Cases Too Small,No Different Than the National Rate,Number of Cases Too Small,,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Number of Cases Too Small,Number of Cases Too Small,No Different Than the National Rate,Number of Cases Too Small,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Value
050772,,4.1,,,,,16.5,,0.39,,0.26,0.26,2.19,2.53,13.14,3.62,5.79,1.73,1.27,1.1,,No Different Than the National Rate,Number of Cases Too Small,,Number of Cases Too Small,Number of Cases Too Small,No Different Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Value
050775,4.1,4.2,12.9,2.3,8.1,9.9,17.5,13.3,0.56,165.74,0.23,0.24,2.21,1.58,7.75,4.37,4.74,1.72,1.24,0.95,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Value
050776,,3.8,,,10.0,,12.8,,0.37,,0.2,0.3,2.31,,,3.39,,,1.04,0.92,,No Different Than the National Rate,Number of Cases Too Small,,No Different Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,,,No Different Than the National Rate,,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Value
050777,,3.9,,,,,,,0.41,,0.2,0.26,2.61,1.66,8.83,3.32,5.11,2.09,1.03,0.91,Number of Cases Too Small,No Different Than the National Rate,Number of Cases Too Small,,Number of Cases Too Small,Number of Cases Too Small,Number of Cases Too Small,Number of Cases Too Small,No Different Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Value
050779,,4.2,,,7.5,10.2,12.4,,0.3,,0.2,0.3,2.51,,,3.69,,1.73,1.28,0.92,,No Different Than the National Rate,Number of Cases Too Small,,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,,,No Different Than the National Rate,,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Value
050780,,3.5,,,,10.4,12.5,,0.25,,0.19,0.25,2.21,1.66,6.96,3.08,5.13,1.72,1.0,0.79,Number of Cases Too Small,No Different Than the National Rate,Number of Cases Too Small,,Number of Cases Too Small,No Different Than the National Rate,Better Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Value
