facility_id,comp_score_comp_hip_knee,comp_score_hybrid_hwm,comp_score_mort_30_ami,comp_score_mort_30_cabg,comp_score_mort_30_copd,comp_score_mort_30_hf,comp_score_mort_30_pn,comp_score_mort_30_stk,comp_score_psi_03,comp_score_psi_04,comp_score_psi_06,comp_score_psi_08,comp_score_psi_09,comp_score_psi_10,comp_score_psi_11,comp_score_psi_12,comp_score_psi_13,comp_score_psi_14,comp_score_psi_15,comp_score_psi_90,comp_flag_comp_hip_knee,comp_flag_hybrid_hwm,comp_flag_mort_30_ami,comp_flag_mort_30_cabg,comp_flag_mort_30_copd,comp_flag_mort_30_hf,comp_flag_mort_30_pn,comp_flag_mort_30_stk,comp_flag_psi_03,comp_flag_psi_04,comp_flag_psi_06,comp_flag_psi_08,comp_flag_psi_09,comp_flag_psi_10,comp_flag_psi_11,comp_flag_psi_12,comp_flag_psi_13,comp_flag_psi_14,comp_flag_psi_15,comp_flag_psi_90
010001,3.2,4.5,11.4,3.0,9.4,10.2,18.4,13.5,0.13,203.0,0.13,0.34,2.75,1.32,10.66,4.4,5.4,1.58,2.09,0.95,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Worse Than the National Rate,No Different Than the National Value
010005,3.0,4.6,,,8.9,14.1,21.2,12.9,0.33,184.79,0.19,0.25,2.04,1.44,8.65,4.89,6.38,1.73,1.23,0.97,No Different Than the National Rate,No Different Than the National Rate,Number of Cases Too Small,,No Different Than the National Rate,No Different Than the National Rate,Worse Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Value
010006,4.7,5.2,14.5,5.4,8.7,12.5,19.6,12.4,0.55,236.12,0.26,0.25,3.59,1.44,16.59,2.92,4.62,1.96,1.34,1.14,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Worse Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Worse Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Worse Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Worse Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Value
010007,,4.8,,,11.2,13.4,25.4,,0.54,,0.21,0.27,2.32,1.65,11.82,3.41,,,1.05,1.06,Number of Cases Too Small,No Different Than the National Rate,Number of Cases Too Small,,No Different Than the National Rate,No Different Than the National Rate,Worse Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Number of Cases Too Small,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Value
010008,,4.3,,,,,15.0,,0.6,,0.21,0.27,,,,,,,,,,No Different Than the National Rate,Number of Cases Too Small,,Number of Cases Too Small,Number of Cases Too Small,No Different Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,,No Different Than the National Rate,No Different Than the National Rate,,,,Number of Cases Too Small,,,,
010011,4.0,4.1,12.7,2.2,9.1,14.4,20.1,12.8,0.23,176.9,0.34,0.28,1.95,1.86,13.64,2.7,6.78,1.72,0.96,1.03,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Value
010012,5.3,4.6,12.8,,9.5,15.9,19.8,,0.48,,0.2,0.26,2.28,1.66,11.34,3.25,6.04,1.74,1.03,1.02,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Value
010016,4.8,4.3,14.1,2.2,9.4,10.6,16.9,16.0,1.01,142.26,0.3,0.24,1.87,2.47,13.24,3.68,10.68,1.99,1.13,1.45,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Worse Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Worse Than the National Value
010018,,,,,,,,,,,0.21,0.27,2.32,,,3.52,,,,0.99,,Number of Cases Too Small,,,,,,,Number of Cases Too Small,,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Number of Cases Too Small,Number of Cases Too Small,No Different Than the National Rate,Number of Cases Too Small,,,No Different Than the National Value
010019,4.5,5.6,,,8.6,18.5,18.7,13.3,0.31,,0.19,0.29,2.83,,,3.93,,2.02,0.94,0.93,No Different Than the National Rate,No Different Than the National Rate,Number of Cases Too Small,,No Different Than the National Rate,Worse Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Number of Cases Too Small,Number of Cases Too Small,No Different Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Value
010021,,4.4,,,,,16.0,,0.56,,0.21,0.27,2.33,,16.47,3.47,,,1.04,1.16,,No Different Than the National Rate,Number of Cases Too Small,,Number of Cases Too Small,Number of Cases Too Small,No Different Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Rate,Number of Cases Too Small,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Value
010022,,4.2,,,,,,,0.6,,0.21,0.27,,,,,,,,,,No Different Than the National Rate,,,Number of Cases Too Small,Number of Cases Too Small,Number of Cases Too Small,,No Different Than the National Rate,,No Different Than the National Rate,No Different Than the National Rate,,,,,,,,
010023,4.3,4.1,12.8,1.9,8.6,12.5,17.4,16.7,3.24,194.83,0.32,0.22,1.62,1.64,11.71,6.52,6.43,1.66,0.9,1.98,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Worse Than the National Rate,Worse Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Worse Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Worse Than the National Value
010024,,5.1,11.7,3.0,7.8,13.0,20.8,14.3,0.83,176.11,0.17,0.31,1.75,1.46,6.49,3.08,5.62,1.64,0.88,0.95,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Worse Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Value
010029,3.5,4.2,13.8,3.5,11.1,13.7,17.7,14.5,0.67,214.87,0.27,0.3,1.96,1.27,9.0,3.77,5.23,1.62,0.87,0.99,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Value
010033,4.7,3.6,11.3,2.4,9.3,10.2,14.5,14.5,0.53,202.13,0.26,0.38,3.25,1.97,11.61,4.94,5.28,1.95,1.56,1.16,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Worse Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Worse Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Value
010034,,4.2,,,,,,,0.61,,0.21,0.27,,,,,,,1.06,,,No Different Than the National Rate,,,Number of Cases Too Small,Number of Cases Too Small,Number of Cases Too Small,Number of Cases Too Small,No Different Than the National Rate,,No Different Than the National Rate,No Different Than the National Rate,Number of Cases Too Small,,,Number of Cases Too Small,,,No Different Than the National Rate,
010035,3.9,5.7,12.6,,9.5,11.6,20.0,14.3,0.28,178.13,0.18,0.32,2.11,2.08,14.57,3.63,6.22,2.03,0.95,1.09,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,,No Different Than the National Rate,No Different Than the National Rate,Worse Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Value
010036,3.4,4.5,,,8.7,12.9,18.3,12.5,0.45,,0.2,0.26,2.27,,,3.3,,1.74,1.02,0.93,No Different Than the National Rate,No Different Than the National Rate,Number of Cases Too Small,,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,,,No Different Than the National Rate,,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Value
010039,2.7,4.3,17.1,1.9,9.0,13.0,20.9,12.8,0.9,233.84,0.27,0.33,1.73,3.38,20.77,6.52,9.38,1.63,1.12,1.73,No Different Than the National Rate,No Different Than the National Rate,Worse Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Worse Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Worse Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Worse Than the National Rate,Worse Than the National Rate,Worse Than the National Rate,Worse Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Worse Than the National Value
010040,4.2,4.9,11.1,2.4,9.3,10.8,20.1,12.9,1.88,182.27,0.24,0.28,1.97,1.57,15.12,3.23,7.72,1.7,1.17,1.58,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Worse Than the National Rate,No Different Than the National Rate,Worse Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Worse Than the National Value
010044,,4.8,,,,13.9,16.7,,0.61,,0.21,0.32,,,,,,,,,,No Different Than the National Rate,Number of Cases Too Small,,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,,No Different Than the National Rate,No Different Than the National Rate,,,,,,,,
010045,,4.3,,,9.8,10.8,15.9,,0.58,,0.21,0.31,,,,,,,,,,No Different Than the National Rate,Number of Cases Too Small,,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,,No Different Than the National Rate,No Different Than the National Rate,Number of Cases Too Small,,,Number of Cases Too Small,,,Number of Cases Too Small,
010046,3.2,4.2,12.0,,9.2,12.2,18.5,14.4,0.26,188.77,0.17,0.24,2.42,1.62,10.0,2.89,4.94,1.72,0.97,0.85,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Value
010049,3.0,4.2,,,10.2,12.6,19.9,16.1,0.43,,0.2,0.26,2.26,1.64,7.82,3.15,5.0,1.74,1.04,0.87,No Different Than the National Rate,No Different Than the National Rate,Number of Cases Too Small,,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Value
010051,,,,,,,,,0.62,,0.21,0.27,,,,,,,,,,Number of Cases Too Small,,,,Number of Cases Too Small,,,No Different Than the National Rate,,No Different Than the National Rate,No Different Than the National Rate,,,,,,,,
010052,,4.5,,,,,18.7,,0.6,,0.21,0.27,,,,,,,,,,No Different Than the National Rate,,,Number of Cases Too Small,Number of Cases Too Small,No Different Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,,No Different Than the National Rate,No Different Than the National Rate,,,,,,,,
010055,4.1,5.1,14.3,4.0,11.7,13.9,17.5,13.8,0.16,169.83,0.15,0.26,2.14,1.44,3.88,2.29,3.96,1.95,1.05,0.6,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Better Than the National Value
010056,4.7,3.8,12.1,3.8,7.9,10.7,14.5,13.1,0.19,140.17,0.17,0.23,1.9,1.32,9.2,3.24,3.32,1.63,0.85,0.74,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Value
010058,,4.9,,,,,17.6,,0.61,,0.21,0.27,,,,,,,,,,No Different Than the National Rate,Number of Cases Too Small,,Number of Cases Too Small,Number of Cases Too Small,No Different Than the National Rate,,No Different Than the National Rate,,No Different Than the National Rate,No Different Than the National Rate,Number of Cases Too Small,,,Number of Cases Too Small,,,Number of Cases Too Small,
010061,,5.6,,,9.6,13.6,19.0,13.6,0.48,,0.2,0.26,2.31,1.67,9.01,3.33,7.05,,1.04,1.0,Number of Cases Too Small,No Different Than the National Rate,Number of Cases Too Small,,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Value
010062,,5.1,,,,,,,0.6,,0.21,0.27,,,,,,,,0.98,,No Different Than the National Rate,Number of Cases Too Small,,Number of Cases Too Small,Number of Cases Too Small,Number of Cases Too Small,,No Different Than the National Rate,,No Different Than the National Rate,No Different Than the National Rate,Number of Cases Too Small,Number of Cases Too Small,Number of Cases Too Small,Number of Cases Too Small,Number of Cases Too Small,,Number of Cases Too Small,No Different Than the National Value
010065,3.3,4.9,12.2,,9.5,12.1,22.4,,0.5,,0.33,0.31,2.3,1.67,9.15,3.85,5.2,,1.03,0.99,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Value
010073,,4.3,,,,,19.1,,1.28,,0.21,0.27,,,,,,,,1.19,,No Different Than the National Rate,Number of Cases Too Small,,Number of Cases Too Small,Number of Cases Too Small,No Different Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,,No Different Than the National Rate,No Different Than the National Rate,Number of Cases Too Small,,,Number of Cases Too Small,,Number of Cases Too Small,Number of Cases Too Small,No Different Than the National Value
010078,4.2,5.4,13.8,,7.2,13.3,19.8,12.9,0.43,225.65,0.16,0.38,2.18,2.18,5.96,4.6,4.77,2.3,1.1,0.91,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,,No Different Than the National Rate,No Different Than the National Rate,Worse Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Value
010079,3.1,5.1,,,10.6,8.8,21.2,19.0,0.39,,0.2,0.25,2.5,1.62,7.51,3.76,4.8,1.72,0.98,0.87,No Different Than the National Rate,No Different Than the National Rate,Number of Cases Too Small,,No Different Than the National Rate,No Different Than the National Rate,Worse Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Value
010083,4.8,4.3,11.4,,9.3,12.6,16.9,13.1,0.31,,0.18,0.33,2.34,1.61,7.66,3.08,4.84,1.68,0.94,0.82,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Value
010085,5.9,5.2,12.2,,7.8,14.8,17.6,13.5,1.37,176.38,0.18,0.28,2.85,,,3.04,,1.66,0.92,1.19,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,,No Different Than the National Rate,Worse Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Number of Cases Too Small,,No Different Than the National Rate,,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Value
010086,,3.8,,,8.8,10.9,16.3,,0.53,,0.21,0.27,2.32,,,3.48,,,1.05,0.96,,No Different Than the National Rate,Number of Cases Too Small,,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Number of Cases Too Small,Number of Cases Too Small,No Different Than the National Rate,Number of Cases Too Small,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Value
010087,,4.6,11.3,,,12.5,16.4,13.5,0.43,212.29,0.24,0.32,2.22,2.68,16.0,3.79,9.14,2.52,1.17,1.33,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Rate,Number of Cases Too Small,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Worse Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Value
010089,,4.1,,,9.3,11.3,15.5,15.1,0.37,,0.19,0.3,2.17,1.63,9.39,3.34,5.51,1.73,0.99,0.92,Number of Cases Too Small,No Different Than the National Rate,Number of Cases Too Small,,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Value
010090,3.1,4.6,13.9,2.6,9.8,10.5,17.6,14.2,0.75,144.61,0.22,0.23,2.0,1.36,12.71,2.79,6.17,1.99,0.91,1.09,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Value
010091,,,,,,,,,0.62,,0.21,0.27,,,,,,,,,,Number of Cases Too Small,,,Number of Cases Too Small,Number of Cases Too Small,Number of Cases Too Small,Number of Cases Too Small,No Different Than the National Rate,,No Different Than the National Rate,No Different Than the National Rate,,,,,,,,
010092,,5.3,13.3,,8.6,13.6,16.2,15.8,0.24,201.58,0.2,0.24,1.97,,,5.12,,1.54,0.95,0.94,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Number of Cases Too Small,Number of Cases Too Small,No Different Than the National Rate,,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Value
010095,,4.3,,,,,,,0.61,,0.21,0.27,,,,,,,,,,No Different Than the National Rate,Number of Cases Too Small,,Number of Cases Too Small,Number of Cases Too Small,Number of Cases Too Small,Number of Cases Too Small,No Different Than the National Rate,,No Different Than the National Rate,No Different Than the National Rate,,,,,,,,
010097,,4.5,,,,,17.9,,0.61,,0.21,0.27,,,,,,,,,,No Different Than the National Rate,Number of Cases Too Small,,Number of Cases Too Small,Number of Cases Too Small,No Different Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,,No Different Than the National Rate,No Different Than the National Rate,,,,,,,,
010099,,4.2,,,,10.8,20.7,,0.57,,0.21,0.27,2.32,,,3.47,,,1.04,1.04,,No Different Than the National Rate,Number of Cases Too Small,,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Number of Cases Too Small,Number of Cases Too Small,No Different Than the National Rate,Number of Cases Too Small,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Value
010100,4.0,4.4,12.1,4.7,10.2,12.7,20.5,14.0,0.46,210.79,0.17,0.3,2.0,1.99,8.1,8.11,4.71,1.64,0.9,1.1,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Worse Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Worse Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Worse Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Value
010101,,4.4,,,,12.6,15.4,,0.52,,0.21,0.27,2.33,,,3.46,,,1.05,0.96,,No Different Than the National Rate,Number of Cases Too Small,,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,,,No Different Than the National Rate,,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Value
010103,3.3,3.9,14.8,2.4,10.5,10.4,17.0,13.3,0.69,105.27,0.28,0.24,1.8,1.37,12.02,4.54,8.85,1.68,0.88,1.23,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Better Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Value
010104,4.2,4.6,12.8,5.4,8.8,12.6,15.4,13.2,0.25,157.5,0.18,0.25,2.02,1.88,6.8,3.47,6.81,1.79,0.62,0.86,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Worse Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Value
010108,,4.3,,,8.1,13.1,17.7,13.2,0.45,,0.2,0.26,2.32,,,3.48,,,1.05,0.94,,No Different Than the National Rate,Number of Cases Too Small,,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,,,No Different Than the National Rate,,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Value
010112,,4.7,,,,10.9,16.0,,2.15,,0.2,0.27,2.31,,,3.85,,,1.04,1.45,Number of Cases Too Small,No Different Than the National Rate,Number of Cases Too Small,,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Rate,Number of Cases Too Small,Worse Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Number of Cases Too Small,Number of Cases Too Small,No Different Than the National Rate,,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Value
010113,4.0,4.1,12.0,3.9,8.6,11.6,19.6,15.1,0.4,192.13,0.14,0.23,2.59,1.19,18.47,5.09,3.95,1.86,1.5,1.17,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Worse Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Value
