facility_id,readm_ratio_readm_30_ami_hrrp,readm_ratio_readm_30_cabg_hrrp,readm_ratio_readm_30_copd_hrrp,readm_ratio_readm_30_hf_hrrp,readm_ratio_readm_30_hip_knee_hrrp,readm_ratio_readm_30_pn_hrrp,readm_predicted_readm_30_ami_hrrp,readm_predicted_readm_30_cabg_hrrp,readm_predicted_readm_30_copd_hrrp,readm_predicted_readm_30_hf_hrrp,readm_predicted_readm_30_hip_knee_hrrp,readm_predicted_readm_30_pn_hrrp,readm_expected_readm_30_ami_hrrp,readm_expected_readm_30_cabg_hrrp,readm_expected_readm_30_copd_hrrp,readm_expected_readm_30_hf_hrrp,readm_expected_readm_30_hip_knee_hrrp,readm_expected_readm_30_pn_hrrp,readm_count_readm_30_ami_hrrp,readm_count_readm_30_cabg_hrrp,readm_count_readm_30_copd_hrrp,readm_count_readm_30_hf_hrrp,readm_count_readm_30_hip_knee_hrrp,readm_count_readm_30_pn_hrrp
050376,0.9655,,0.9706,1.0241,0.9108,1.0277,14.5127,,20.967,20.3849,3.9026,17.9332,15.0307,,21.6018,19.9055,4.285,17.4504,,,,26.0,,20.0
050380,1.2312,1.1294,1.0544,1.063,1.0625,0.9997,16.1161,12.6478,19.3513,18.8305,5.4383,15.0974,13.0899,11.1989,18.3532,17.7139,5.1186,15.1022,52.0,,26.0,126.0,,104.0
050382,1.1236,1.1507,1.0213,0.9751,1.1902,1.0995,13.9549,12.011,15.5829,17.4857,5.6032,20.2357,12.4196,10.4381,15.2581,17.9316,4.7079,18.4051,24.0,,16.0,47.0,,131.0
050390,,,0.9951,0.9725,,1.0686,,,17.1934,19.8395,,18.4522,,,17.2787,20.4016,,17.2675,,,,16.0,,40.0
050393,0.997,,1.0267,0.989,,1.0967,14.6616,,18.0131,17.8041,,19.2045,14.7063,,17.5449,18.002,,17.5111,,,,35.0,,41.0
050394,1.0004,0.9395,0.9722,0.9864,0.9612,0.9919,12.6516,9.81,17.693,18.0902,4.6416,14.9812,12.6459,10.4413,18.1999,18.3397,4.8289,15.1037,19.0,,14.0,58.0,,48.0
050396,1.0345,0.9412,0.921,0.9576,0.9616,1.0353,13.091,9.6544,15.3629,17.6233,4.9592,15.1493,12.654,10.2575,16.6808,18.403,5.1571,14.6333,33.0,,13.0,118.0,12.0,100.0
050407,,,1.0267,1.0792,,0.9849,,,14.317,17.5558,,13.0793,,,13.9444,16.2682,,13.2792,,,,22.0,,
050414,,,1.0298,1.0657,0.9791,0.9713,,,19.2758,19.2232,5.0652,12.8077,,,18.7175,18.038,5.1733,13.1859,,,29.0,73.0,,34.0
050417,,,0.9959,0.9746,0.9398,0.9816,,,17.0999,18.4612,4.1587,15.2966,,,17.1707,18.9426,4.4252,15.5833,,,,17.0,,26.0
050424,,,0.9788,0.9296,0.707,0.9803,,,16.8743,16.3941,3.2422,14.1359,,,17.2395,17.6361,4.5862,14.4204,,,,,30.0,24.0
050425,,,,0.9708,,0.9879,,,,19.3142,,15.858,,,,19.8955,,16.0523,,,,,,
050426,1.0666,,0.9736,1.0512,,1.1765,17.6422,,20.4388,23.026,,22.622,16.541,,20.9935,21.9044,,19.2288,17.0,,11.0,36.0,,108.0
050438,1.0801,1.0005,0.9859,1.1182,0.8911,1.0699,14.1506,10.1259,18.6436,22.1039,4.8405,18.0918,13.1009,10.1208,18.9111,19.7677,5.4321,16.9096,27.0,,20.0,125.0,,136.0
050441,0.9377,0.8532,0.9751,1.0439,0.6731,1.0341,13.4416,11.0374,18.7159,20.7364,3.7689,17.0953,14.335,12.9359,19.1947,19.8639,5.599,16.5309,33.0,18.0,23.0,185.0,16.0,144.0
050444,1.0642,,0.9929,1.0931,,1.0258,15.0181,,17.9717,20.7252,,16.5988,14.1123,,18.1005,18.9593,,16.1818,11.0,,32.0,118.0,,96.0
050454,1.0676,0.9498,0.9618,0.9301,0.9186,1.0283,16.487,11.0191,18.6391,19.1413,4.8526,17.9814,15.4427,11.6019,19.3803,20.5809,5.2829,17.4873,29.0,,15.0,105.0,18.0,108.0
050455,1.0466,,1.0091,1.0519,,1.0232,14.0934,,20.7179,20.6373,,17.2498,13.4664,,20.5316,19.6189,,16.8586,26.0,,21.0,59.0,,74.0
050457,1.0698,,1.0469,0.9727,0.7874,1.0308,14.011,,19.524,19.679,4.3567,16.9957,13.097,,18.6498,20.2311,5.5328,16.4872,,,12.0,46.0,,25.0
050464,1.071,1.2466,1.0777,1.0383,,1.0203,14.4615,12.5069,20.913,21.6163,,17.1612,13.5028,10.0326,19.4054,20.818,,16.8194,56.0,22.0,27.0,91.0,,64.0
050468,,,1.0039,1.1919,,1.0492,,,22.6579,27.8997,,21.4511,,,22.5693,23.4084,,20.4459,,,13.0,48.0,,44.0
050471,1.0879,1.0499,1.055,1.1098,0.962,1.1695,16.9996,12.3706,21.4711,22.2285,5.0901,21.7086,15.6265,11.783,20.3524,20.0291,5.2914,18.562,17.0,,16.0,84.0,,62.0
050481,1.1252,1.0642,1.1015,1.1412,0.996,1.1599,16.4608,13.6151,23.1387,22.4993,5.124,20.7415,14.6291,12.7939,21.0073,19.716,5.1448,17.8829,37.0,,27.0,87.0,,104.0
050485,1.0314,1.03,1.0642,0.9382,1.3162,0.9153,15.9929,15.129,22.1571,19.118,8.2319,16.991,15.5059,14.6877,20.8195,20.3772,6.2546,18.5625,21.0,,22.0,51.0,,26.0
050488,,,0.9866,0.9947,1.0466,0.9399,,,18.3055,19.291,4.7694,14.6605,,,18.5536,19.3939,4.5569,15.5977,,,14.0,49.0,,39.0
050492,1.006,0.9299,1.0466,1.0497,0.9607,0.974,12.748,10.2733,18.9893,20.7061,6.4345,14.9625,12.6721,11.0474,18.1438,19.7261,6.6977,15.3625,17.0,,33.0,105.0,,100.0
050496,1.0417,0.9256,1.1544,0.882,1.0425,1.0846,14.1003,10.9379,21.1291,17.0777,5.3175,17.614,13.5357,11.8167,18.3031,19.3628,5.1007,16.2398,42.0,17.0,37.0,92.0,26.0,70.0
050498,,,0.9391,0.9812,0.9653,0.9952,,,13.9418,17.8586,6.0229,14.0945,,,14.846,18.201,6.2392,14.1628,,,,24.0,,29.0
050503,0.9277,,1.0138,0.9132,1.2588,0.9157,11.7067,,19.2677,17.4128,6.6665,14.1679,12.6185,,19.0061,19.0685,5.296,15.4714,11.0,,23.0,86.0,14.0,70.0
050506,,,0.9902,1.0782,1.136,0.9367,,,14.9959,19.0138,4.3813,13.3052,,,15.145,17.6352,3.8567,14.2045,,,,20.0,,16.0
050515,,,,0.97,,,,,,16.5157,,,,,,17.0261,,,,,,,,
050516,0.981,1.0199,1.0622,0.9764,1.1127,1.1089,13.8517,11.3457,21.1235,19.0986,5.9198,17.3001,14.12,11.1245,19.8871,19.5608,5.3204,15.6017,27.0,,49.0,97.0,,76.0
050517,,,1.0264,1.0011,0.9476,1.0945,,,16.4449,22.293,4.2427,19.0846,,,16.0226,22.269,4.4772,17.436,,,,,,26.0
050523,1.0388,,1.0092,1.0137,,0.9923,13.5401,,21.1614,21.0825,,17.4404,13.0348,,20.9693,20.798,,17.5758,14.0,,28.0,75.0,,34.0
050526,,,,1.114,,1.0158,,,,21.6322,,18.968,,,,19.4186,,18.6727,,,,25.0,,32.0
050528,,,,1.0067,,1.025,,,,16.9892,,15.5645,,,,16.8756,,15.1842,,,,11.0,,13.0
050534,1.0159,,1.0289,1.0472,,1.1135,13.0868,,18.6935,21.8817,,17.2384,12.8825,,18.169,20.8946,,15.4817,,,,26.0,,34.0
