facility_id,hcahps_pct_h_clean_hsp_a_p,hcahps_pct_h_clean_hsp_sn_p,hcahps_pct_h_clean_hsp_u_p,hcahps_pct_h_comp_1_a_p,hcahps_pct_h_comp_1_sn_p,hcahps_pct_h_comp_1_u_p,hcahps_pct_h_comp_2_a_p,hcahps_pct_h_comp_2_sn_p,hcahps_pct_h_comp_2_u_p,hcahps_pct_h_comp_5_a_p,hcahps_pct_h_comp_5_sn_p,hcahps_pct_h_comp_5_u_p,hcahps_pct_h_comp_6_n_p,hcahps_pct_h_comp_6_y_p,hcahps_pct_h_disch_help_n_p,hcahps_pct_h_disch_help_y_p,hcahps_pct_h_doctor_explain_a_p,hcahps_pct_h_doctor_explain_sn_p,hcahps_pct_h_doctor_explain_u_p,hcahps_pct_h_doctor_listen_a_p,hcahps_pct_h_doctor_listen_sn_p,hcahps_pct_h_doctor_listen_u_p,hcahps_pct_h_doctor_respect_a_p,hcahps_pct_h_doctor_respect_sn_p,hcahps_pct_h_doctor_respect_u_p,hcahps_pct_h_hsp_rating_0_6,hcahps_pct_h_hsp_rating_7_8,hcahps_pct_h_hsp_rating_9_10,hcahps_pct_h_med_for_a_p,hcahps_pct_h_med_for_sn_p,hcahps_pct_h_med_for_u_p,hcahps_pct_h_nurse_explain_a_p,hcahps_pct_h_nurse_explain_sn_p,hcahps_pct_h_nurse_explain_u_p,hcahps_pct_h_nurse_listen_a_p,hcahps_pct_h_nurse_listen_sn_p,hcahps_pct_h_nurse_listen_u_p,hcahps_pct_h_nurse_respect_a_p,hcahps_pct_h_nurse_respect_sn_p,hcahps_pct_h_nurse_respect_u_p,hcahps_pct_h_quiet_hsp_a_p,hcahps_pct_h_quiet_hsp_sn_p,hcahps_pct_h_quiet_hsp_u_p,hcahps_pct_h_recmnd_dn,hcahps_pct_h_recmnd_dy,hcahps_pct_h_recmnd_py,hcahps_pct_h_side_effects_a_p,hcahps_pct_h_side_effects_sn_p,hcahps_pct_h_side_effects_u_p,hcahps_pct_h_symptoms_n_p,hcahps_pct_h_symptoms_y_p,hcahps_linear_h_clean_linear_score,hcahps_linear_h_comp_1_linear_score,hcahps_linear_h_comp_2_linear_score,hcahps_linear_h_comp_5_linear_score,hcahps_linear_h_comp_6_linear_score,hcahps_linear_h_hsp_rating_linear_score,hcahps_linear_h_quiet_linear_score,hcahps_linear_h_recmnd_linear_score,hcahps_stars_h_clean_star_rating,hcahps_stars_h_comp_1_star_rating,hcahps_stars_h_comp_2_star_rating,hcahps_stars_h_comp_5_star_rating,hcahps_stars_h_comp_6_star_rating,hcahps_stars_h_hsp_rating_star_rating,hcahps_stars_h_quiet_star_rating,hcahps_stars_h_recmnd_star_rating,hcahps_stars_h_star_rating
100109,65.0,14.0,21.0,73.0,6.0,21.0,70.0,9.0,21.0,52.0,28.0,20.0,15.0,85.0,16.0,84.0,65.0,11.0,24.0,67.0,9.0,24.0,78.0,6.0,16.0,12.0,26.0,62.0,66.0,14.0,20.0,68.0,8.0,24.0,68.0,7.0,25.0,81.0,4.0,15.0,53.0,12.0,35.0,9.0,61.0,30.0,37.0,43.0,20.0,14.0,86.0,83.0,88.0,86.0,69.0,84.0,84.0,79.0,83.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0
100110,72.0,12.0,16.0,71.0,10.0,19.0,72.0,10.0,18.0,51.0,30.0,19.0,23.0,77.0,26.0,74.0,68.0,13.0,19.0,70.0,11.0,19.0,77.0,8.0,15.0,15.0,25.0,60.0,66.0,15.0,19.0,66.0,12.0,22.0,68.0,11.0,21.0,78.0,8.0,14.0,56.0,11.0,33.0,12.0,58.0,30.0,36.0,45.0,19.0,21.0,79.0,85.0,86.0,86.0,68.0,76.0,83.0,81.0,79.0,3.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0
100113,71.0,9.0,20.0,77.0,4.0,19.0,78.0,5.0,17.0,59.0,22.0,19.0,12.0,88.0,12.0,88.0,72.0,7.0,21.0,75.0,6.0,19.0,85.0,3.0,12.0,8.0,17.0,75.0,74.0,10.0,16.0,72.0,5.0,23.0,74.0,4.0,22.0,85.0,2.0,13.0,59.0,11.0,30.0,4.0,79.0,17.0,44.0,34.0,22.0,11.0,89.0,87.0,91.0,90.0,75.0,88.0,89.0,81.0,91.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,5.0,3.0
100117,77.0,8.0,15.0,81.0,3.0,16.0,80.0,4.0,16.0,61.0,21.0,18.0,13.0,87.0,14.0,86.0,75.0,6.0,19.0,77.0,5.0,18.0,87.0,2.0,11.0,5.0,16.0,79.0,78.0,8.0,14.0,76.0,4.0,20.0,80.0,4.0,16.0,88.0,2.0,10.0,64.0,8.0,28.0,3.0,82.0,15.0,44.0,33.0,23.0,13.0,87.0,89.0,93.0,92.0,77.0,86.0,91.0,85.0,93.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,4.0
100118,75.0,8.0,17.0,80.0,4.0,16.0,75.0,6.0,19.0,61.0,21.0,18.0,13.0,87.0,13.0,87.0,70.0,8.0,22.0,72.0,7.0,21.0,83.0,4.0,13.0,8.0,18.0,74.0,74.0,10.0,16.0,75.0,5.0,20.0,77.0,4.0,19.0,87.0,2.0,11.0,56.0,10.0,34.0,6.0,71.0,23.0,48.0,32.0,20.0,13.0,87.0,89.0,92.0,89.0,77.0,87.0,89.0,81.0,87.0,4.0,4.0,2.0,3.0,4.0,4.0,3.0,4.0,3.0
100121,79.0,5.0,16.0,79.0,5.0,16.0,74.0,8.0,18.0,62.0,20.0,18.0,14.0,86.0,14.0,86.0,70.0,11.0,19.0,72.0,9.0,19.0,82.0,5.0,13.0,9.0,18.0,73.0,76.0,10.0,14.0,76.0,6.0,18.0,76.0,5.0,19.0,86.0,3.0,11.0,63.0,7.0,30.0,7.0,71.0,22.0,49.0,30.0,21.0,13.0,87.0,91.0,91.0,88.0,77.0,86.0,88.0,85.0,87.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0
100122,73.0,10.0,17.0,73.0,8.0,19.0,69.0,12.0,19.0,54.0,27.0,19.0,18.0,82.0,18.0,82.0,66.0,14.0,20.0,67.0,14.0,19.0,76.0,7.0,17.0,17.0,28.0,55.0,67.0,14.0,19.0,68.0,9.0,23.0,70.0,8.0,22.0,81.0,6.0,13.0,55.0,12.0,33.0,13.0,51.0,36.0,42.0,40.0,18.0,17.0,83.0,87.0,88.0,85.0,71.0,82.0,82.0,80.0,78.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0
100124,77.0,6.0,17.0,76.0,6.0,18.0,76.0,6.0,18.0,59.0,23.0,18.0,15.0,85.0,18.0,82.0,71.0,8.0,21.0,74.0,8.0,18.0,83.0,3.0,14.0,11.0,23.0,66.0,74.0,12.0,14.0,72.0,8.0,20.0,73.0,7.0,20.0,83.0,3.0,14.0,54.0,11.0,35.0,9.0,61.0,30.0,44.0,33.0,23.0,12.0,88.0,89.0,90.0,89.0,74.0,85.0,86.0,81.0,83.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0
100125,77.0,10.0,13.0,77.0,6.0,17.0,78.0,7.0,15.0,56.0,23.0,21.0,13.0,87.0,14.0,86.0,72.0,9.0,19.0,75.0,7.0,18.0,85.0,5.0,10.0,12.0,19.0,69.0,70.0,11.0,19.0,72.0,7.0,21.0,74.0,6.0,20.0,86.0,3.0,11.0,67.0,8.0,25.0,7.0,69.0,24.0,42.0,35.0,23.0,12.0,88.0,89.0,90.0,90.0,74.0,86.0,86.0,86.0,86.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0
100126,72.0,9.0,19.0,78.0,5.0,17.0,79.0,5.0,16.0,59.0,24.0,17.0,17.0,83.0,15.0,85.0,74.0,8.0,18.0,76.0,4.0,20.0,86.0,4.0,10.0,10.0,16.0,74.0,69.0,14.0,17.0,73.0,7.0,20.0,76.0,5.0,19.0,84.0,3.0,13.0,49.0,11.0,40.0,7.0,72.0,21.0,48.0,35.0,17.0,19.0,81.0,87.0,91.0,91.0,74.0,82.0,88.0,78.0,88.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,3.0
100127,73.0,8.0,19.0,80.0,4.0,16.0,77.0,6.0,17.0,61.0,20.0,19.0,12.0,88.0,14.0,86.0,72.0,7.0,21.0,75.0,6.0,19.0,84.0,3.0,13.0,6.0,15.0,79.0,75.0,9.0,16.0,76.0,5.0,19.0,78.0,4.0,18.0,87.0,2.0,11.0,51.0,13.0,36.0,4.0,81.0,15.0,48.0,31.0,21.0,11.0,89.0,88.0,92.0,90.0,77.0,87.0,91.0,78.0,92.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,5.0,4.0
